epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6645,1.94623,4.9078,1.35225,0.07751,0.23838,0.07545,0.04877,1.24304,3.00683,0.97389,5.67361e-05,5.67361e-05,5.67361e-05
2,71.3,1.62219,2.94335,1.1677,0.31396,0.49029,0.36978,0.24012,1.24246,2.01738,0.98696,0.000113618,0.000113618,0.000113618
3,104.829,1.59859,2.24159,1.18556,0.55973,0.67547,0.68165,0.46416,1.10211,1.39558,0.96988,0.000170045,0.000170045,0.000170045
4,138.188,1.55589,1.82257,1.19008,0.67815,0.78547,0.81255,0.54271,1.14017,1.14948,0.9801,0.000169957,0.000169957,0.000169957
5,171.916,1.53238,1.56077,1.1803,0.81494,0.8356,0.91027,0.60784,1.17774,0.95432,0.98341,0.000169276,0.000169276,0.000169276
6,205.6,1.53803,1.39639,1.19842,0.87289,0.87227,0.94433,0.62496,1.1518,0.85198,0.98406,0.000168594,0.000168594,0.000168594
7,239.343,1.4992,1.28157,1.19504,0.91134,0.90824,0.96368,0.65483,1.12516,0.75787,0.97754,0.000167913,0.000167913,0.000167913
8,271.569,1.47183,1.1464,1.17999,0.92603,0.91811,0.96846,0.66749,1.09035,0.70831,0.97152,0.000167232,0.000167232,0.000167232
9,303.379,1.4504,1.12408,1.17632,0.93308,0.93233,0.97286,0.67408,1.09196,0.66919,0.96909,0.000166551,0.000166551,0.000166551
10,336.052,1.42234,1.06321,1.18,0.9485,0.93716,0.97511,0.67341,1.08308,0.66779,0.97265,0.00016587,0.00016587,0.00016587
11,368.282,1.44316,1.03762,1.16832,0.93917,0.94177,0.97855,0.68004,1.07004,0.63605,0.96375,0.000165189,0.000165189,0.000165189
12,400.754,1.4014,0.98628,1.16518,0.95282,0.95061,0.98018,0.67635,1.10642,0.6234,0.97211,0.000164508,0.000164508,0.000164508
13,433.007,1.39967,0.96185,1.16049,0.93929,0.93171,0.97862,0.67142,1.13223,0.64636,0.97961,0.000163827,0.000163827,0.000163827
14,465.372,1.37542,0.92046,1.15505,0.96057,0.95342,0.98039,0.66041,1.14653,0.59003,0.98404,0.000163145,0.000163145,0.000163145
15,497.24,1.35931,0.90343,1.14758,0.95917,0.94934,0.97908,0.67061,1.1415,0.58866,0.97962,0.000162464,0.000162464,0.000162464
16,528.518,1.34636,0.89821,1.13606,0.96191,0.9567,0.97788,0.65924,1.15144,0.59425,0.98526,0.000161783,0.000161783,0.000161783
17,559.824,1.31565,0.85878,1.12516,0.96791,0.96004,0.97781,0.68868,1.06192,0.56527,0.95725,0.000161102,0.000161102,0.000161102
18,591.191,1.32067,0.86552,1.13082,0.96817,0.95923,0.98067,0.67015,1.11281,0.55907,0.98469,0.000160421,0.000160421,0.000160421
19,622.525,1.32045,0.86144,1.13115,0.96511,0.95255,0.97897,0.67536,1.09089,0.55328,0.97684,0.00015974,0.00015974,0.00015974
20,653.644,1.28149,0.83101,1.11591,0.9712,0.96238,0.97954,0.68183,1.0931,0.53799,0.96552,0.000159059,0.000159059,0.000159059
21,684.821,1.29796,0.80759,1.12771,0.96171,0.96542,0.9806,0.67587,1.08707,0.54018,0.96772,0.000158378,0.000158378,0.000158378
22,716.177,1.26704,0.79038,1.10981,0.97659,0.96882,0.9857,0.68848,1.07856,0.51053,0.97091,0.000157696,0.000157696,0.000157696
23,747.59,1.25448,0.78466,1.10337,0.95446,0.96946,0.98442,0.6821,1.0662,0.51583,0.97982,0.000157015,0.000157015,0.000157015
24,778.926,1.26545,0.78453,1.10804,0.96383,0.9669,0.98363,0.69924,1.03143,0.50163,0.95519,0.000156334,0.000156334,0.000156334
25,810.758,1.21328,0.7562,1.09352,0.97602,0.96992,0.98213,0.69054,1.04669,0.50121,0.95845,0.000155653,0.000155653,0.000155653
26,842.406,1.23002,0.753,1.09185,0.96502,0.97149,0.98202,0.67689,1.10845,0.50808,0.97554,0.000154972,0.000154972,0.000154972
27,874.33,1.20392,0.73273,1.07711,0.97123,0.96465,0.98488,0.66059,1.15653,0.51989,0.9986,0.000154291,0.000154291,0.000154291
28,905.61,1.20227,0.73567,1.07967,0.97376,0.96174,0.98337,0.67834,1.09441,0.50398,0.98177,0.00015361,0.00015361,0.00015361
29,937.123,1.1909,0.72603,1.07969,0.97539,0.97461,0.98427,0.70319,1.01203,0.4806,0.95656,0.000152929,0.000152929,0.000152929
30,968.428,1.16934,0.71622,1.06871,0.97679,0.96092,0.98103,0.68276,1.07802,0.49619,0.96894,0.000152248,0.000152248,0.000152248
31,999.539,1.17383,0.72105,1.06786,0.96983,0.96622,0.98275,0.69636,1.03731,0.49424,0.95734,0.000151566,0.000151566,0.000151566
32,1030.61,1.15494,0.69129,1.05304,0.97356,0.9703,0.98203,0.68667,1.05463,0.48572,0.96425,0.000150885,0.000150885,0.000150885
33,1061.77,1.15581,0.68001,1.06095,0.96953,0.9704,0.98133,0.68403,1.0869,0.4878,0.96359,0.000150204,0.000150204,0.000150204
34,1093.19,1.14308,0.68757,1.04882,0.97651,0.96683,0.98181,0.70392,1.00977,0.47709,0.95932,0.000149523,0.000149523,0.000149523
35,1124.59,1.11617,0.67504,1.04564,0.97388,0.96775,0.98119,0.66126,1.13454,0.48964,1.00131,0.000148842,0.000148842,0.000148842
36,1155.66,1.11091,0.65871,1.04331,0.97945,0.96411,0.9839,0.67653,1.10066,0.47844,0.97939,0.000148161,0.000148161,0.000148161
37,1186.85,1.08399,0.66834,1.03823,0.97384,0.9716,0.98418,0.69994,1.02071,0.46275,0.962,0.00014748,0.00014748,0.00014748
