epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1987.17,1.06913,0.59734,1.03065,0.98396,0.97313,0.98445,0.70286,1.03981,0.43102,0.9629,0.000144074,0.000144074,0.000144074
43,2033.99,1.04146,0.58548,1.02338,0.98631,0.97711,0.98707,0.68091,1.1093,0.43787,0.98659,0.000143393,0.000143393,0.000143393
44,2081.16,1.03268,0.58176,1.02515,0.98138,0.97258,0.98361,0.6986,1.02725,0.4281,0.97487,0.000142712,0.000142712,0.000142712
45,2128.05,1.04006,0.59132,1.02647,0.98465,0.96942,0.98673,0.69333,1.08009,0.42857,0.9744,0.000142031,0.000142031,0.000142031
46,2174.91,1.01516,0.57052,1.0088,0.97837,0.97225,0.98494,0.70777,1.02106,0.43509,0.96494,0.00014135,0.00014135,0.00014135
47,2221.79,1.02082,0.58701,1.01071,0.98323,0.97355,0.98625,0.70071,1.04123,0.42366,0.97731,0.000140668,0.000140668,0.000140668
48,2268.52,1.00606,0.56448,1.00238,0.98595,0.9736,0.98532,0.7099,1.01937,0.41185,0.96619,0.000139987,0.000139987,0.000139987
49,2315.4,0.99354,0.55897,1.00346,0.98496,0.97418,0.9851,0.6991,1.03076,0.419,0.97009,0.000139306,0.000139306,0.000139306
50,2362.51,0.98573,0.56153,1.0075,0.98548,0.97147,0.9851,0.69819,1.03823,0.4177,0.97405,0.000138625,0.000138625,0.000138625
51,2409.34,0.99104,0.56061,1.00188,0.98617,0.97418,0.98169,0.7072,1.01808,0.4136,0.96559,0.000137944,0.000137944,0.000137944
52,2456.24,0.96371,0.54856,0.99328,0.97804,0.97322,0.98293,0.69442,1.06798,0.42464,0.97311,0.000137263,0.000137263,0.000137263
53,2503.03,0.94878,0.55281,0.9959,0.9832,0.97356,0.98559,0.70189,1.03881,0.41016,0.97501,0.000136582,0.000136582,0.000136582
54,2549.84,0.95635,0.54603,0.99405,0.9858,0.97402,0.98683,0.70056,1.03937,0.41534,0.97995,0.000135901,0.000135901,0.000135901
55,2596.7,0.94241,0.54236,0.99353,0.98283,0.97239,0.9852,0.70034,1.02326,0.42041,0.97662,0.00013522,0.00013522,0.00013522
56,2643.56,0.94197,0.53878,0.98024,0.98569,0.97667,0.98502,0.70908,1.02141,0.40436,0.9678,0.000134538,0.000134538,0.000134538
